,Cerianthus_lloydi,Halicryptus_sp,Onchnesoma,Phascolion_strombi,Golfingia_sp,Holothuroidea,Nemertina_indet,Polychaeta_indet,Amaena_trilobata,Amphicteis_gunneri,Ampharetidae,Anaitides_groenlandica,Anaitides_sp,Apistobranchus_tullbergi,Brada_sp,Caulleriella_killariensis,Caulleriella_sp,Ceratocephale_loveni,Chaetozone_setosa,Chone_sp,Cossura_longocirrata,Diplocirrus_glaucus,Eteone_sp,Euchone_analis,Euchone_papillosa,Glycera_alba,Glucinde_nordmanni,Glycera_rouxi,Goniada_maculata,Gyptis_rosea,Harmothoe_nodosa,Harmothoe_sarsi,Harmothoe_sp,Hesionidae_,Heteromastus_filiformis,Jasmineira_sp,Lanassa_venusta,Laonice_cirrata,Lumbrineris_scopa,Lumbrineris_sp,Lysilla_loveni,Maldanidae,Mediomastus_fragilis,Melinna_cristata,Mugga_wahlbergi,Myriochele_oculata,Nephtys_ciliata,Nephtys_incisa,Nephtys_paradoxa,Oligochaeta,Ophelina_acuminata,Ophelina_modesta,Ophelina_sp,Ophiodromus_flexuosus,Orbinia_sertulata,Paraonis_gracilis,Paramphinome_jeffreysii,Paraonis_lyra,Pectinaria_auricoma,Pectinaria_belgica,Pectinaria_koreni,Pholoe_minuta,Phylo_norvegica,Pilargis_papillosa,Polydora_antennata,Polyphysia_crassa,Polycirrus_plumosus,Prionospio_cirrifera,Prionospio_malmgreni,Prionospio_steenstrupi,Prionospio_sp,Proclea_graffii,Rhodine_gracilior,Rhodine_loveni,Sabellidae,Scalibregma_inflatum,Scoloplos_armiger,Sosane_gracilis,Sosane_sulcata,Sphaerodorum_flavum,Spiophanes_kroyeri,Synelmis_klatti,Terebellides_stroemi,Tharyx_marioni,Trichobranchus_roseus,Chaetoderma_nitidulum,Nucula_sulcata,Nucula_tenuis,Nucula_nitida,Abra_alba,Abra_nitida,Thyasira_sp,Thracea_papyracea,Mysella_bidentata,Corbula_gibba,Parvicardium_minimum,Leda_pernula,Myrtea_spinifera,Natica_sp,Philine_sp,Ophisto_indet,Labidoplax_buskii,Echinocardium_cordatum,Brissopsis_lyrifera,Amphiura_filiformis,Astropecten_sp,Calocaris_macandreae,Amphipoda,Cumacea,Crustacea_indet
A1,0,0,0,0,0,0,12,5,1,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,1,4,0,3,0,2,0,0,2,0,1,0,0,0,0,4,1,0,1,1,1,7,14,0,0,7,1,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,1
A2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,4,0,0,4,4,2,2,1,0,0,0,0,2,0,0,16,1,0,0,0,0,0,0
A3,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,16,4,0,1,0,1,3,0,0,0,2,2,0,6,0,2,0,0,6,0,1,0,2,0,0,1,0,0,0,1,2,7,8,0,0,18,3,0,1,0,0,0,0,1,4,0,0,10,0,0,0,1,0,0,0
A4,0,1,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,3,0,3,7,0,0,0,2,0,4,0,0,1,5,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,5,1,0,4,0,5,3,0,11,0,2,0,1,0,0,2,0,0,0,0,0,7,20,0,0,12,11,0,0,0,0,0,0,0,2,0,0,7,1,1,0,0,0,0,2
B1,0,0,0,0,0,0,40,0,0,4,1,1,0,0,0,0,8,0,55,2,21,0,3,0,1,0,1,1,1,0,2,1,0,0,290,1,0,0,0,0,0,0,0,9,4,74,6,0,0,0,0,0,0,0,0,1,3,14,0,0,0,4,1,0,0,0,0,0,14,0,0,35,2,0,0,1,1,4,0,0,5,0,3,11,0,1,0,0,6,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
B2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,169,0,0,0,0,0,0,0,0,4,0,10,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,6,2,0,4,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
B3,0,0,0,1,0,0,19,1,0,0,0,0,0,0,0,0,3,1,35,7,9,1,0,0,0,3,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,12,0,44,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,1,5,0,0,14,1,1,0,0,0,2,0,0,4,1,1,2,1,0,0,2,8,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
B4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,2,36,0,3,0,1,2,0,0,0,0,0,0,0,1,295,0,0,0,0,0,0,0,0,2,0,18,1,0,1,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0,5,2,0,0,0,0,1,0,0,0,1,4,0,3,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,3,4,36,0,0,0,0,0,0,0,0,1,0,0,0,0,205,0,0,0,0,0,0,0,0,14,1,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,5,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,19,4,51,0,0,0,0,0,0,0,1,0,0,0,0,0,244,0,0,0,0,0,0,0,0,13,1,41,1,0,0,0,0,0,0,0,0,5,1,6,0,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
C4,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,153,12,85,1,0,0,0,0,0,0,1,0,0,0,0,0,477,0,0,0,0,0,0,1,0,14,1,45,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,18,0,0,6,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,4,10,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
